module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMAD Automator Skills,bmad-auto-setup,Setup Automator Module,SA,Install or update BMAD Automator module config and help entries.,configure,{-H: headless mode},anytime,,,false,{project-root}/_bmad,config.yaml entries
BMAD Automator Skills,bmad-auto-sweep,Sweep Triage,ST,Read-only triage of the deferred-work ledger into a machine-readable partition. Automation-only; bmad-auto sweep invokes it.,triage,{--feedback path},anytime,,,false,implementation_artifacts,result.json triage plan
